Department,Year,FTE,Publications
COM,2017,8.34,61
COM,2018,8.8,59
COM,2019,10.03,64
COM,2020,14.36,90
COM,2021,17.54,78
COM,2022,15.99,71
ORG,2017,14.47,92
ORG,2018,18.13,102
ORG,2019,20.58,85
ORG,2020,23.44,86
ORG,2021,25.2,91
ORG,2022,24.74,102
PSPA,2017,13.7,118
PSPA,2018,12.32,87
PSPA,2019,12.799999999999999,89
PSPA,2020,14.27,128
PSPA,2021,11.84,75
PSPA,2022,13.77,80
SCA,2017,5.7,84
SCA,2018,8.35,89
SCA,2019,8.08,60
SCA,2020,7.86,69
SCA,2021,6.88,68
SCA,2022,6.88,50
SOC,2017,27.56,166
SOC,2018,32.18,146
SOC,2019,27.67,127
SOC,2020,29.91,156
SOC,2021,32.03,150
SOC,2022,31.32,180
